postmatch_index,postmatch_match_id,postmatch_league,postmatch_home,postmatch_away,postmatch_kickoff,candidate_rank,snapshot_index,snapshot_event_id,snapshot_league,snapshot_home,snapshot_away,snapshot_kickoff,snapshot_time,bookmaker,odds,match_score,home_similarity,away_similarity,league_similarity,kickoff_diff_min,reversed_home_away,reason
0,,Eliteserien,,,2026-07-12T15:00:00Z,1,31,32,Eliteserien,HamKam,Tromso,2026-07-18T12:00:00Z,2026-07-15T13:25:42+00:00,Betsson,,0.1,0.0,0.0,1.0,8460.0,False,team_names_different
0,,Eliteserien,,,2026-07-12T15:00:00Z,2,32,33,Eliteserien,Lillestrom,KFUM,2026-07-18T14:00:00Z,2026-07-15T13:25:42+00:00,GTbets,,0.1,0.0,0.0,1.0,8580.0,False,team_names_different
0,,Eliteserien,,,2026-07-12T15:00:00Z,3,33,34,Eliteserien,Vålerenga,Aalesund,2026-07-16T17:00:00Z,2026-07-15T13:25:42+00:00,Betfair,,0.1,0.0,0.0,1.0,5880.0,False,team_names_different
1,,Eliteserien,,,2026-07-12T17:15:00Z,1,31,32,Eliteserien,HamKam,Tromso,2026-07-18T12:00:00Z,2026-07-15T13:25:42+00:00,Betsson,,0.1,0.0,0.0,1.0,8325.0,False,team_names_different
1,,Eliteserien,,,2026-07-12T17:15:00Z,2,32,33,Eliteserien,Lillestrom,KFUM,2026-07-18T14:00:00Z,2026-07-15T13:25:42+00:00,GTbets,,0.1,0.0,0.0,1.0,8445.0,False,team_names_different
1,,Eliteserien,,,2026-07-12T17:15:00Z,3,33,34,Eliteserien,Vålerenga,Aalesund,2026-07-16T17:00:00Z,2026-07-15T13:25:42+00:00,Betfair,,0.1,0.0,0.0,1.0,5745.0,False,team_names_different
2,,Allsvenskan,,,2026-07-12T12:00:00Z,1,9,10,Allsvenskan,IFK Goteborg,IF Brommapojkarna,2026-07-17T17:00:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,7500.0,False,team_names_different
2,,Allsvenskan,,,2026-07-12T12:00:00Z,2,10,11,Allsvenskan,Mjällby AIF,Västerås SK,2026-07-17T17:00:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,7500.0,False,team_names_different
2,,Allsvenskan,,,2026-07-12T12:00:00Z,3,11,12,Allsvenskan,IF Elfsborg,IK Sirius,2026-07-19T14:30:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,10230.0,False,team_names_different
3,,Allsvenskan,,,2026-07-12T12:00:00Z,1,9,10,Allsvenskan,IFK Goteborg,IF Brommapojkarna,2026-07-17T17:00:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,7500.0,False,team_names_different
3,,Allsvenskan,,,2026-07-12T12:00:00Z,2,10,11,Allsvenskan,Mjällby AIF,Västerås SK,2026-07-17T17:00:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,7500.0,False,team_names_different
3,,Allsvenskan,,,2026-07-12T12:00:00Z,3,11,12,Allsvenskan,IF Elfsborg,IK Sirius,2026-07-19T14:30:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,10230.0,False,team_names_different
4,,Allsvenskan,,,2026-07-12T14:30:00Z,1,9,10,Allsvenskan,IFK Goteborg,IF Brommapojkarna,2026-07-17T17:00:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,7350.0,False,team_names_different
4,,Allsvenskan,,,2026-07-12T14:30:00Z,2,10,11,Allsvenskan,Mjällby AIF,Västerås SK,2026-07-17T17:00:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,7350.0,False,team_names_different
4,,Allsvenskan,,,2026-07-12T14:30:00Z,3,11,12,Allsvenskan,IF Elfsborg,IK Sirius,2026-07-19T14:30:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,10080.0,False,team_names_different
5,,Allsvenskan,,,2026-07-12T14:30:00Z,1,9,10,Allsvenskan,IFK Goteborg,IF Brommapojkarna,2026-07-17T17:00:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,7350.0,False,team_names_different
5,,Allsvenskan,,,2026-07-12T14:30:00Z,2,10,11,Allsvenskan,Mjällby AIF,Västerås SK,2026-07-17T17:00:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,7350.0,False,team_names_different
5,,Allsvenskan,,,2026-07-12T14:30:00Z,3,11,12,Allsvenskan,IF Elfsborg,IK Sirius,2026-07-19T14:30:00Z,2026-07-15T13:25:42+00:00,Unibet (SE),,0.1,0.0,0.0,1.0,10080.0,False,team_names_different
6,,FIFA World Cup,,,2026-07-11T21:01:00Z,1,21,22,Belgian Pro League,Charleroi,Leuven,2026-08-09T14:00:00Z,2026-07-15T13:25:42+00:00,1xBet,,0.0357,0.0,0.0,0.3571,41339.0,False,team_names_different
6,,FIFA World Cup,,,2026-07-11T21:01:00Z,2,22,23,Belgian Pro League,SV Zulte-Waregem,Genk,2026-08-09T14:00:00Z,2026-07-15T13:25:42+00:00,Tipico,,0.0357,0.0,0.0,0.3571,41339.0,False,team_names_different
6,,FIFA World Cup,,,2026-07-11T21:01:00Z,3,62,63,Premier League,Newcastle United,Liverpool,2026-08-23T15:30:00Z,2026-07-15T13:25:42+00:00,Betfair,,0.032,0.0,0.0,0.32,61589.0,False,team_names_different
7,,Eliteserien,,,2026-07-12T17:15:00Z,1,31,32,Eliteserien,HamKam,Tromso,2026-07-18T12:00:00Z,2026-07-15T13:25:42+00:00,Betsson,,0.1,0.0,0.0,1.0,8325.0,False,team_names_different
7,,Eliteserien,,,2026-07-12T17:15:00Z,2,32,33,Eliteserien,Lillestrom,KFUM,2026-07-18T14:00:00Z,2026-07-15T13:25:42+00:00,GTbets,,0.1,0.0,0.0,1.0,8445.0,False,team_names_different
