postmatch_index,postmatch_match_id,postmatch_league,postmatch_home,postmatch_away,postmatch_kickoff,candidate_rank,snapshot_index,snapshot_match_id,snapshot_league,snapshot_home,snapshot_away,snapshot_kickoff,match_score,home_similarity,away_similarity,league_similarity,kickoff_diff_min,reversed_home_away,reason
0,,soccer_norway_eliteserien,,,2026-07-12T15:00:00Z,1,31,32,soccer_norway_eliteserien,HamKam,Tromso,2026-07-18T12:00:00Z,0.05,0.0,0.0,1.0,8460.0,False,postmatch_team_columns_unresolved
0,,soccer_norway_eliteserien,,,2026-07-12T15:00:00Z,2,32,33,soccer_norway_eliteserien,Lillestrom,KFUM,2026-07-18T14:00:00Z,0.05,0.0,0.0,1.0,8580.0,False,postmatch_team_columns_unresolved
0,,soccer_norway_eliteserien,,,2026-07-12T15:00:00Z,3,33,34,soccer_norway_eliteserien,Vålerenga,Aalesund,2026-07-16T17:00:00Z,0.05,0.0,0.0,1.0,5880.0,False,postmatch_team_columns_unresolved
1,,soccer_norway_eliteserien,,,2026-07-12T17:15:00Z,1,31,32,soccer_norway_eliteserien,HamKam,Tromso,2026-07-18T12:00:00Z,0.05,0.0,0.0,1.0,8325.0,False,postmatch_team_columns_unresolved
1,,soccer_norway_eliteserien,,,2026-07-12T17:15:00Z,2,32,33,soccer_norway_eliteserien,Lillestrom,KFUM,2026-07-18T14:00:00Z,0.05,0.0,0.0,1.0,8445.0,False,postmatch_team_columns_unresolved
1,,soccer_norway_eliteserien,,,2026-07-12T17:15:00Z,3,33,34,soccer_norway_eliteserien,Vålerenga,Aalesund,2026-07-16T17:00:00Z,0.05,0.0,0.0,1.0,5745.0,False,postmatch_team_columns_unresolved
2,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,1,9,10,soccer_sweden_allsvenskan,IFK Goteborg,IF Brommapojkarna,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7500.0,False,postmatch_team_columns_unresolved
2,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,2,10,11,soccer_sweden_allsvenskan,Mjällby AIF,Västerås SK,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7500.0,False,postmatch_team_columns_unresolved
2,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,3,11,12,soccer_sweden_allsvenskan,IF Elfsborg,IK Sirius,2026-07-19T14:30:00Z,0.05,0.0,0.0,1.0,10230.0,False,postmatch_team_columns_unresolved
3,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,1,9,10,soccer_sweden_allsvenskan,IFK Goteborg,IF Brommapojkarna,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7500.0,False,postmatch_team_columns_unresolved
3,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,2,10,11,soccer_sweden_allsvenskan,Mjällby AIF,Västerås SK,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7500.0,False,postmatch_team_columns_unresolved
3,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,3,11,12,soccer_sweden_allsvenskan,IF Elfsborg,IK Sirius,2026-07-19T14:30:00Z,0.05,0.0,0.0,1.0,10230.0,False,postmatch_team_columns_unresolved
4,,soccer_sweden_allsvenskan,,,2026-07-12T14:30:00Z,1,9,10,soccer_sweden_allsvenskan,IFK Goteborg,IF Brommapojkarna,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7350.0,False,postmatch_team_columns_unresolved
4,,soccer_sweden_allsvenskan,,,2026-07-12T14:30:00Z,2,10,11,soccer_sweden_allsvenskan,Mjällby AIF,Västerås SK,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7350.0,False,postmatch_team_columns_unresolved
4,,soccer_sweden_allsvenskan,,,2026-07-12T14:30:00Z,3,11,12,soccer_sweden_allsvenskan,IF Elfsborg,IK Sirius,2026-07-19T14:30:00Z,0.05,0.0,0.0,1.0,10080.0,False,postmatch_team_columns_unresolved
5,,soccer_sweden_allsvenskan,,,2026-07-12T14:30:00Z,1,9,10,soccer_sweden_allsvenskan,IFK Goteborg,IF Brommapojkarna,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7350.0,False,postmatch_team_columns_unresolved
5,,soccer_sweden_allsvenskan,,,2026-07-12T14:30:00Z,2,10,11,soccer_sweden_allsvenskan,Mjällby AIF,Västerås SK,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7350.0,False,postmatch_team_columns_unresolved
5,,soccer_sweden_allsvenskan,,,2026-07-12T14:30:00Z,3,11,12,soccer_sweden_allsvenskan,IF Elfsborg,IK Sirius,2026-07-19T14:30:00Z,0.05,0.0,0.0,1.0,10080.0,False,postmatch_team_columns_unresolved
6,,soccer_fifa_world_cup,,,2026-07-11T21:01:00Z,1,57,58,soccer_usa_mls,FC Cincinnati,Vancouver Whitecaps FC,2026-07-22T23:30:00Z,0.0267,0.0,0.0,0.5333,15989.0,False,postmatch_team_columns_unresolved
6,,soccer_fifa_world_cup,,,2026-07-11T21:01:00Z,2,58,59,soccer_usa_mls,Sporting Kansas City,Minnesota United FC,2026-07-23T00:30:00Z,0.0267,0.0,0.0,0.5333,16049.0,False,postmatch_team_columns_unresolved
6,,soccer_fifa_world_cup,,,2026-07-11T21:01:00Z,3,59,60,soccer_usa_mls,Los Angeles FC,Real Salt Lake,2026-07-23T02:30:00Z,0.0267,0.0,0.0,0.5333,16169.0,False,postmatch_team_columns_unresolved
7,,soccer_norway_eliteserien,,,2026-07-12T17:15:00Z,1,31,32,soccer_norway_eliteserien,HamKam,Tromso,2026-07-18T12:00:00Z,0.05,0.0,0.0,1.0,8325.0,False,postmatch_team_columns_unresolved
7,,soccer_norway_eliteserien,,,2026-07-12T17:15:00Z,2,32,33,soccer_norway_eliteserien,Lillestrom,KFUM,2026-07-18T14:00:00Z,0.05,0.0,0.0,1.0,8445.0,False,postmatch_team_columns_unresolved
7,,soccer_norway_eliteserien,,,2026-07-12T17:15:00Z,3,33,34,soccer_norway_eliteserien,Vålerenga,Aalesund,2026-07-16T17:00:00Z,0.05,0.0,0.0,1.0,5745.0,False,postmatch_team_columns_unresolved
8,,soccer_norway_eliteserien,,,2026-07-12T15:00:00Z,1,31,32,soccer_norway_eliteserien,HamKam,Tromso,2026-07-18T12:00:00Z,0.05,0.0,0.0,1.0,8460.0,False,postmatch_team_columns_unresolved
8,,soccer_norway_eliteserien,,,2026-07-12T15:00:00Z,2,32,33,soccer_norway_eliteserien,Lillestrom,KFUM,2026-07-18T14:00:00Z,0.05,0.0,0.0,1.0,8580.0,False,postmatch_team_columns_unresolved
8,,soccer_norway_eliteserien,,,2026-07-12T15:00:00Z,3,33,34,soccer_norway_eliteserien,Vålerenga,Aalesund,2026-07-16T17:00:00Z,0.05,0.0,0.0,1.0,5880.0,False,postmatch_team_columns_unresolved
9,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,1,9,10,soccer_sweden_allsvenskan,IFK Goteborg,IF Brommapojkarna,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7500.0,False,postmatch_team_columns_unresolved
9,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,2,10,11,soccer_sweden_allsvenskan,Mjällby AIF,Västerås SK,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7500.0,False,postmatch_team_columns_unresolved
9,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,3,11,12,soccer_sweden_allsvenskan,IF Elfsborg,IK Sirius,2026-07-19T14:30:00Z,0.05,0.0,0.0,1.0,10230.0,False,postmatch_team_columns_unresolved
10,,soccer_norway_eliteserien,,,2026-07-12T12:30:00Z,1,31,32,soccer_norway_eliteserien,HamKam,Tromso,2026-07-18T12:00:00Z,0.05,0.0,0.0,1.0,8610.0,False,postmatch_team_columns_unresolved
10,,soccer_norway_eliteserien,,,2026-07-12T12:30:00Z,2,32,33,soccer_norway_eliteserien,Lillestrom,KFUM,2026-07-18T14:00:00Z,0.05,0.0,0.0,1.0,8730.0,False,postmatch_team_columns_unresolved
10,,soccer_norway_eliteserien,,,2026-07-12T12:30:00Z,3,33,34,soccer_norway_eliteserien,Vålerenga,Aalesund,2026-07-16T17:00:00Z,0.05,0.0,0.0,1.0,6030.0,False,postmatch_team_columns_unresolved
11,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,1,9,10,soccer_sweden_allsvenskan,IFK Goteborg,IF Brommapojkarna,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7500.0,False,postmatch_team_columns_unresolved
11,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,2,10,11,soccer_sweden_allsvenskan,Mjällby AIF,Västerås SK,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7500.0,False,postmatch_team_columns_unresolved
11,,soccer_sweden_allsvenskan,,,2026-07-12T12:00:00Z,3,11,12,soccer_sweden_allsvenskan,IF Elfsborg,IK Sirius,2026-07-19T14:30:00Z,0.05,0.0,0.0,1.0,10230.0,False,postmatch_team_columns_unresolved
12,,soccer_norway_eliteserien,,,2026-07-12T15:00:00Z,1,31,32,soccer_norway_eliteserien,HamKam,Tromso,2026-07-18T12:00:00Z,0.05,0.0,0.0,1.0,8460.0,False,postmatch_team_columns_unresolved
12,,soccer_norway_eliteserien,,,2026-07-12T15:00:00Z,2,32,33,soccer_norway_eliteserien,Lillestrom,KFUM,2026-07-18T14:00:00Z,0.05,0.0,0.0,1.0,8580.0,False,postmatch_team_columns_unresolved
12,,soccer_norway_eliteserien,,,2026-07-12T15:00:00Z,3,33,34,soccer_norway_eliteserien,Vålerenga,Aalesund,2026-07-16T17:00:00Z,0.05,0.0,0.0,1.0,5880.0,False,postmatch_team_columns_unresolved
13,,soccer_sweden_allsvenskan,,,2026-07-12T14:30:00Z,1,9,10,soccer_sweden_allsvenskan,IFK Goteborg,IF Brommapojkarna,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7350.0,False,postmatch_team_columns_unresolved
13,,soccer_sweden_allsvenskan,,,2026-07-12T14:30:00Z,2,10,11,soccer_sweden_allsvenskan,Mjällby AIF,Västerås SK,2026-07-17T17:00:00Z,0.05,0.0,0.0,1.0,7350.0,False,postmatch_team_columns_unresolved
13,,soccer_sweden_allsvenskan,,,2026-07-12T14:30:00Z,3,11,12,soccer_sweden_allsvenskan,IF Elfsborg,IK Sirius,2026-07-19T14:30:00Z,0.05,0.0,0.0,1.0,10080.0,False,postmatch_team_columns_unresolved
