bookmaker,sport,bets,wins,losses,turnover,profit,avg_clv,updated_at
1xBet,hockey,5,1,4,2.2199999999999998,-0.8994000000000001,0.0,2026-06-24T09:25:53.372851+00:00
Coolbet,hockey,1,0,1,0.33,-0.33,0.0,2026-06-24T09:25:53.372859+00:00
LeoVegas (SE),hockey,3,1,2,1.48,-0.019399999999999806,0.0,2026-06-24T09:25:53.372862+00:00
Marathon Bet,hockey,2,0,2,0.73,-0.73,0.0,2026-06-24T09:25:53.372865+00:00
Unibet (SE),hockey,3,1,2,1.48,-0.019399999999999806,0.0,2026-06-24T09:25:53.372867+00:00
Pinnacle,baseball,1,0,1,0.33,-0.33,0.0,2026-06-24T09:25:54.656763+00:00
GTbets,basketball,1,1,0,0.89,0.7120000000000001,0.0,2026-06-24T09:25:51.844809+00:00
LeoVegas (SE),basketball,1,0,1,0.33,-0.33,0.0,2026-06-24T09:25:51.844818+00:00
PMU (FR),basketball,1,0,1,0.4,-0.4,0.0,2026-06-24T09:25:51.844821+00:00
Unibet (NL),basketball,1,0,1,0.33,-0.33,0.0,2026-06-24T09:25:51.844823+00:00
Unibet (SE),basketball,1,0,1,0.33,-0.33,0.0,2026-06-24T09:25:51.844825+00:00
