id,bet_id,external_event_id,opening_odds,closing_odds,clv_pct,bookmaker,closing_source_hash,calculated_at
1,23599,,4.42,3.62,0.22099,1xBet,b3144eace4c6483ee56c717b4a76ed2e,2026-08-20T14:03:57+00:00
2,35262,,4.2,3.8,0.10526,Unibet (SE),a80db03dfb25c0b7b851865b85c0abed,2026-08-21T06:23:49+00:00
3,35888,,4.4,4.1,0.07317,Unibet (SE),e9f793d4c675d12a9ebdb09cdf75c998,2026-08-21T06:23:49+00:00
4,35909,,3.5,3.45,0.01449,Betfair,e25d1e7d6c6bc3a741b4bc6d0c1f6242,2026-08-21T06:23:49+00:00
5,36621,,3.8,4.1,-0.07317,Betfair,44b669d5a6da285171c734f4bc92e83d,2026-08-21T06:23:49+00:00
6,40095,64bcade566cf81f72b7d0b89cc04d996,3.45,3.45,0.0,Betfair,f29f21ac95fa84bb80fb6e264c488583,2026-08-21T06:23:49+00:00
7,38650,0f7390c6bb23bf6d0ed45c2cb0165934,3.45,3.7,-0.06757,Betfair,411b7fccd80c906a5533626b3858a101,2026-08-21T16:18:45+00:00
8,35883,,4.3,4.4,-0.02273,Betfair,b219ce8090a9e806810def31453ea24b,2026-08-21T16:18:45+00:00
9,23600,,3.71,3.71,0.0,1xBet,17dce22f0d4aea126a05b941c49a214d,2026-08-21T16:18:45+00:00
10,37436,,3.31,3.02,0.09603,Pinnacle,697fe19f0fe4a0e648c14c2480cef019,2026-08-21T16:18:45+00:00
11,35912,,4.4,4.4,0.0,Tipico,780ba9f7f73c30edf774f98613407780,2026-08-21T16:18:45+00:00
12,37069,,4.2,3.9,0.07692,Tipico,6b7635d108d1c5b28586821a61bfaf8c,2026-08-21T16:18:45+00:00
13,33119,,3.55,3.7,-0.04054,Betsson,ef9dbd8655244cb459639333140730d8,2026-08-21T16:18:45+00:00
14,30203,,4.5,4.1,0.09756,Coolbet,6c20dab06761cc43c232ceebcba44e1c,2026-08-21T16:18:45+00:00
15,34849,,4.4,4.6,-0.04348,Coolbet,502fa74e5f72a1c0c4392be1d7ee21b8,2026-08-21T16:18:45+00:00
16,40591,6c4e291875a301113d20658a1d6d345b,3.35,3.35,0.0,Betfair,3e932eac60bbf6805824f044c643f8dc,2026-08-21T16:18:45+00:00
17,35889,,3.45,3.75,-0.08,Unibet (SE),d57ca5737fc54c48c6cac822d591c2a6,2026-08-22T06:18:59+00:00
18,35886,,4.41,4.18,0.05502,Pinnacle,f3d247a2a759ffbf498349354bd58633,2026-08-22T06:18:59+00:00
19,36223,,3.89,3.6,0.08056,1xBet,548675221bb8ad67ec739d60e2a6efd5,2026-08-22T06:18:59+00:00
20,34852,,4.3,4.5,-0.04444,Codere (IT),4f16a19773ccf0ca662cdc12fc4b8ff9,2026-08-22T06:18:59+00:00
21,34853,,4.3,2.9,0.48276,Codere (IT),8525b34461d2ceb01f1ddf90acbc3e81,2026-08-22T06:18:59+00:00
22,34854,,4.12,4.12,0.0,Nordic Bet,88f795e25789ea17daa510aeb83392b7,2026-08-22T06:18:59+00:00
23,34855,,4.5,5.1,-0.11765,Marathon Bet,18c29950f76c123232bcfaec343d10dd,2026-08-22T06:18:59+00:00
24,35249,,3.55,3.8,-0.06579,Betfair,d10357576d1756d6958d5d15a51aadaf,2026-08-22T06:18:59+00:00
25,35251,,4.4,3.6,0.22222,Coolbet,ee090656f1798e9aa55f9db33bf7902c,2026-08-22T06:18:59+00:00
26,36614,,4.5,4.1,0.09756,LeoVegas (SE),7a5704fa3e3c20f6f6cf4a4d62d4c34c,2026-08-22T06:18:59+00:00
27,37396,,4.4,4.4,0.0,Betfair,7663475ee02acbed1056a52955683305,2026-08-22T06:18:59+00:00
28,37397,,4.1,4.2,-0.02381,Betfair,e69699346f0ffe5e944c3191cb31a556,2026-08-22T06:18:59+00:00
29,26091,,4.04,3.41,0.18475,1xBet,6a00702b9abc6131851d6789411bd637,2026-08-22T06:18:59+00:00
30,39709,f0d7185bbedbc394715ad138824137be,3.92,4.29,-0.08625,Pinnacle,954a3c027469b96fe8aef228ce586dae,2026-08-22T06:18:59+00:00
31,41074,ba00f4e6a31a36c0a8b838104a056349,2.92,2.92,0.0,Betfair,99e389826e09c49d1d928e97a3a80a7b,2026-08-22T06:18:59+00:00
32,38365,,3.85,3.9,-0.01282,Matchbook,32eb3f48352f61af27857379be4d932f,2026-08-22T06:18:59+00:00
33,36220,,3.9,4.0,-0.025,Tipico,51d1a1ee9be4cc49cfc9dd939eb5d7c3,2026-08-22T06:18:59+00:00
34,37030,,4.1,4.1,0.0,Betfair,deaa5d65017731a25e64776a0f95a693,2026-08-22T06:18:59+00:00
35,38367,,4.4,4.2,0.04762,Matchbook,3c79351397895f52a131e8a94eca048e,2026-08-22T06:18:59+00:00
36,40582,34f7cdf85204ff9a90caa56bb7d7d74a,3.95,3.95,0.0,Betfair,caa9f0eef205c0675fe4f5aa9d4e2c07,2026-08-22T06:18:59+00:00
37,41076,1ad930f2a3fa3d20b4ab5964b8433914,3.95,3.95,0.0,Betfair,a036db96dbdac4a4ff76ac1e625082a0,2026-08-22T06:18:59+00:00
38,2663,,4.47,4.72,-0.05297,1xBet,8085cbdce737757437c7731e76960f46,2026-08-22T06:18:59+00:00
39,37043,,4.41,4.72,-0.06568,Pinnacle,ab7c3aa91e5c2e0ff7466e220862e254,2026-08-22T06:18:59+00:00
40,27349,,3.8,3.45,0.10145,Unibet (SE),435b22aa61dca92c1210e54a2242caea,2026-08-22T06:18:59+00:00
41,7503,,3.15,3.39,-0.0708,1xBet,b956fde757089c5286646038102bbdbf,2026-08-22T06:18:59+00:00
42,38099,,4.1,4.0,0.025,Betfair,9bee840b10d26a1ee3969f6cbda7c87e,2026-08-22T06:18:59+00:00
43,36617,,3.95,3.15,0.25397,Nordic Bet,2bc38b816db8e4310911bc1000c76599,2026-08-22T06:18:59+00:00
44,35891,,4.2,4.5,-0.06667,Tipico,0255c4ebc6d80eec5fab9a30c868785e,2026-08-22T06:18:59+00:00
45,27684,,4.38,4.3,0.0186,Pinnacle,fce101f49f9ad57b9735ebc53ba42c26,2026-08-22T06:18:59+00:00
46,38111,,4.2,4.2,0.0,Tipico,137cafdf386ddbeca260bd1f2793d246,2026-08-22T06:18:59+00:00
47,41079,0c8bc495393c8523a8b36f4c020e59a3,3.85,3.85,0.0,Betfair,59c3962acabe763a38428bc6ff2b9147,2026-08-22T06:18:59+00:00
48,33115,,4.2,3.8,0.10526,Codere (IT),8d8259a3ee5db5e26f3a3505e85e06c0,2026-08-22T16:10:41+00:00
49,41591,b5144c27d60a6d6f1656cb5086465b96,3.08,3.58,-0.13966,Pinnacle,353915f9aa4edd2302cf4419bc43f22d,2026-08-22T16:10:41+00:00
50,39693,f8e1b22b436e9e3b802eec580350d1ba,3.44,3.38,0.01775,Pinnacle,0d3cd6f3ab3de842812c8f6ea5bbc50c,2026-08-22T16:10:41+00:00
51,36648,,3.78,4.13,-0.08475,Pinnacle,c703d9984267c9df38c147b9e62693ae,2026-08-22T16:10:41+00:00
52,41092,45d17c64ae2a7f7ea73e10558e480a9e,3.4,3.35,0.01493,Matchbook,3eec9eb86795396ff960f0baf739ee37,2026-08-22T16:10:41+00:00
53,41586,160e8293208f9a7e09c8588d68a3c0b7,1.65,3.74,-0.55882,Pinnacle,e998553091e7c9b78f3cffb5c9f2904a,2026-08-22T16:10:41+00:00
54,35587,,4.5,4.75,-0.05263,Coolbet,016bcdc9de3516db3065601fcae7d783,2026-08-22T16:10:41+00:00
55,41587,abcf5060d68f9bfc780d107f7bb26a95,1.35,3.37,-0.59941,Pinnacle,d92ebbe958599416333bcdc3d16bdbf3,2026-08-22T16:10:41+00:00
56,36653,,3.31,3.27,0.01223,GTbets,1b2026f32cca1a3f33c39b35fd9f27e5,2026-08-22T16:10:41+00:00
57,432,,3.6,2.42,0.4876,Coolbet,9a60183f1da067a7f9c90103f50aff04,2026-08-22T16:10:41+00:00
58,38090,,3.25,3.4,-0.04412,LeoVegas (SE),e0060a7a772b8927ae88e9e553ca7b51,2026-08-22T16:10:41+00:00
59,35612,,4.01,4.32,-0.07176,1xBet,1a08ef592a10574cdff6bfcf28fe50b6,2026-08-22T16:10:41+00:00
60,35613,,3.45,2.8,0.23214,LeoVegas (SE),55d63a45327eed966c5090b1f31315af,2026-08-22T16:10:41+00:00
61,36640,,4.25,4.31,-0.01392,1xBet,0227ead985b339d6e82657278c97bc1b,2026-08-22T16:10:41+00:00
62,37055,,4.07,4.13,-0.01453,1xBet,5e05a1327f772001e7f16af3cce73306,2026-08-22T16:10:41+00:00
63,37057,,4.44,4.51,-0.01552,1xBet,3d7cc28b8f2b4b926a9574e891d30949,2026-08-22T16:10:41+00:00
64,38116,,3.7,3.55,0.04225,LeoVegas (SE),873e0ecbb27f8955a6ce510de17504e6,2026-08-22T16:10:41+00:00
65,41602,e1ce411d4290f2045ff63237ae0e3f46,3.5,3.5,0.0,Betfair,79cb2bf59927e8606da5208541549d6c,2026-08-22T16:10:41+00:00
66,35614,,4.5,4.7,-0.04255,LeoVegas (SE),401e091054d5d6a04149134fedd72997,2026-08-22T16:10:41+00:00
67,35615,,3.75,3.45,0.08696,LeoVegas (SE),2e4dc0cd8cb680af99880dd8d83cf30e,2026-08-22T16:10:41+00:00
68,36642,,4.35,4.3,0.01163,1xBet,d5075b35257c64b26cd17f17931250bd,2026-08-22T16:10:41+00:00
69,36643,,4.1,3.88,0.0567,1xBet,6859be0d778c020b196cffd06f74a019,2026-08-22T16:10:41+00:00
70,38387,,4.11,4.16,-0.01202,1xBet,cb59efacdeb1d75313c932daf93c0f91,2026-08-22T16:10:41+00:00
71,36645,,4.3,4.28,0.00467,1xBet,5b4ef9d7a3f236b4589747c110d29218,2026-08-22T16:10:41+00:00
72,36646,,4.32,4.26,0.01408,1xBet,2e6aa4fc2e0b40a22402145b47fd2f6c,2026-08-22T16:10:41+00:00
73,38122,,3.45,3.25,0.06154,LeoVegas (SE),6540a97b0378ba6604375d009d5bbe07,2026-08-22T16:10:41+00:00
74,40097,3694aa4b60ed1371baf2e5281f9880c8,3.6,3.6,0.0,Matchbook,082ab022c7191b4b52ff77a8a2099269,2026-08-22T16:10:41+00:00
75,41597,179d61b9f2f569f90d77eb61c7e12fa8,3.55,1.89,0.87831,Betfair,3898de7f0f9f839df00fce09060df08e,2026-08-22T16:10:41+00:00
76,41087,6c458fa974e26995356da9818a6efdac,3.6,3.65,-0.0137,Betfair,9816fdffbbe868fc0653463c5a5ddfda,2026-08-22T16:10:41+00:00
77,41600,440a7702ee234fe9e1f58d697130b0d1,3.9,3.9,0.0,Matchbook,3ddb6f10fbc633a51968872052fe9341,2026-08-22T16:10:41+00:00
78,41601,302341207055a2bd67abdf33940d24c3,3.5,3.5,0.0,Matchbook,0baec278ea84de52750096ca7ede5595,2026-08-22T16:10:41+00:00
79,41592,119e408eeed6e034b8afea1228f8a056,2.0,2.1,-0.04762,Pinnacle,db4632b79fadf770886122ac4d28ae66,2026-08-22T16:10:41+00:00
80,35887,,3.6,3.1,0.16129,Tipico,258cc66208bf59bdc714d01407f5337e,2026-08-22T16:10:41+00:00
81,35599,,3.85,3.5,0.1,Unibet (SE),74e28743463c0e2e9cb0dd91ff325d18,2026-08-23T06:20:50+00:00
82,31002,,3.8,3.4,0.11765,Codere (IT),9b68533ae30bc8f2b3ac4b286f3de828,2026-08-23T06:20:50+00:00
83,35595,,3.6,4.2,-0.14286,Codere (IT),68bf8af9aa85a37316911fe7521ee50f,2026-08-23T06:20:50+00:00
84,37037,,4.5,4.3,0.04651,Betfair,45816a0bfc2d47db634695609bb2e733,2026-08-23T06:20:50+00:00
85,42119,39a6d3d0dd1be9d318d424175f926f4d,3.3,3.3,0.0,Betfair,f10f24b882eca68d2a6a7815dd08e21b,2026-08-23T06:20:50+00:00
86,35588,,4.5,4.4,0.02273,Codere (IT),61deb156b1d25faaf2fd96958da9a922,2026-08-23T06:20:50+00:00
87,27965,,3.92,3.94,-0.00508,1xBet,1c4a30e42be49580cca1485150cdce53,2026-08-23T06:20:50+00:00
88,30630,,4.25,4.1,0.03659,Nordic Bet,b827f8c82298e63688a1a81af96bc0ed,2026-08-23T06:20:50+00:00
89,37022,,4.4,4.1,0.07317,Unibet (SE),a458b404f126132b72db9821b33db93b,2026-08-23T06:20:50+00:00
90,448,,3.58,3.84,-0.06771,1xBet,768a1e8261d36c5154eb19bac2469430,2026-08-23T06:20:50+00:00
91,1,,3.1,3.9,-0.20513,Betfair,64e48bcb6ef6f42cf29e729e9eea8a30,2026-08-23T06:20:50+00:00
92,36231,,3.82,3.87,-0.01292,Pinnacle,0f1a6711b5f8d405417f9ee43ca6c639,2026-08-23T06:20:50+00:00
93,42125,eea1b11233961a38172522dc11b0523d,3.8,3.8,0.0,Betfair,28fe2f2c2e0b7f207e57a0cfbe0e5975,2026-08-23T06:20:50+00:00
94,36609,,3.65,4.6,-0.20652,Betfair,1f7d99dd11c70806795f9bcc79c52275,2026-08-23T06:20:50+00:00
95,35884,,3.85,3.07,0.25407,Nordic Bet,8c38f2c26aff232a2c5d612a888f32c3,2026-08-23T06:20:50+00:00
96,42117,f74f411258dfcb663805768c6225fd0e,3.6,3.6,0.0,Betfair,fb4fd2998134d92a8f17e30e4adba31f,2026-08-23T06:20:50+00:00
97,41095,e7382a34d78205406d3ec528e3e1194a,3.45,3.5,-0.01429,Betfair,496af16fc4705956d53ed0fa27dd7c2d,2026-08-23T16:11:19+00:00
