league,matches,avg_home_goals,avg_away_goals,avg_total_goals,home_win_rate,draw_rate,away_win_rate,low_score_rate,btts_rate,over_25_rate,home_advantage_xg,home_advantage_elo,league_average_xg,dixon_rho,reliability,updated_at
FIFA World Cup,3,2.0,2.6666666666666665,4.666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0770000000000002,63.05,1.3795000000000002,-0.07699,0.03,2026-09-03T10:14:29+00:00
Allsvenskan,35,1.3428571428571427,1.2,2.5428571428571427,0.4,0.17142857142857143,0.42857142857142855,0.5142857142857142,0.34285714285714286,0.4857142857142857,1.0624166666666666,59.3,1.3225,-0.07855,0.35,2026-09-03T10:14:29+00:00
Eliteserien,33,2.0303030303030303,1.6666666666666667,3.6969696969696972,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.696969696969697,0.7272727272727273,1.0716,68.3,1.5145,-0.06388999999999999,0.33,2026-09-03T10:14:29+00:00
Brazil Serie A,34,1.1764705882352942,1.4411764705882353,2.6176470588235294,0.29411764705882354,0.38235294117647056,0.3235294117647059,0.5294117647058824,0.6470588235294118,0.47058823529411764,1.046,59.39999999999999,1.3359999999999999,-0.10472,0.34,2026-09-03T10:14:29+00:00
Liga MX,28,1.4285714285714286,1.2857142857142858,2.7142857142857144,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.39285714285714285,0.75,0.6071428571428571,1.065377777777778,62.2,1.352,-0.08324000000000001,0.28,2026-09-03T10:14:29+00:00
MLS,110,1.6818181818181819,1.4545454545454546,3.1363636363636367,0.44545454545454544,0.2818181818181818,0.2727272727272727,0.34545454545454546,0.7454545454545455,0.6545454545454545,1.0390625,93.0,1.5681818181818183,-0.08072727272727272,1.0,2026-09-03T10:14:29+00:00
Argentina Primera Division,57,1.1929824561403508,0.9298245614035088,2.1228070175438596,0.5087719298245614,0.15789473684210525,0.3333333333333333,0.6491228070175439,0.3508771929824561,0.3508771929824561,1.0747301886792453,81.30000000000001,1.1855000000000002,-0.09031,0.57,2026-09-03T10:14:29+00:00
Danish Superliga,21,0.9523809523809523,1.5714285714285714,2.5238095238095237,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5238095238095238,0.47619047619047616,0.47619047619047616,1.0590000000000002,62.9,1.3315000000000001,-0.09143000000000001,0.21,2026-09-03T10:14:29+00:00
Swiss Super League,20,1.7,1.7,3.4,0.4,0.3,0.3,0.3,0.7,0.7,1.064,67.4,1.4200000000000002,-0.0796,0.2,2026-09-03T10:14:29+00:00
Austrian Bundesliga,20,1.85,1.1,2.95,0.5,0.2,0.3,0.45,0.55,0.55,1.0980909090909092,71.8,1.375,-0.0786,0.2,2026-09-03T10:14:29+00:00
Scottish Premiership,7,0.7142857142857143,1.4285714285714286,2.142857142857143,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,1.073,60.449999999999996,1.3305,-0.08331,0.07,2026-09-03T10:14:29+00:00
2. Bundesliga,20,2.15,1.8,3.95,0.5,0.15,0.35,0.25,0.65,0.75,1.0737222222222225,69.6,1.475,-0.0671,0.2,2026-09-03T10:14:29+00:00
Primeira Liga,13,1.2307692307692308,1.0,2.230769230769231,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.6153846153846154,0.46153846153846156,0.38461538461538464,1.0771000000000002,65.89999999999999,1.3195000000000001,-0.09529,0.13,2026-09-03T10:14:29+00:00
J-League,20,1.3,1.7,3.0,0.3,0.25,0.45,0.45,0.65,0.55,1.06,56.4,1.3800000000000001,-0.0821,0.2,2026-09-03T10:14:29+00:00
Eredivisie,12,1.8333333333333333,1.75,3.583333333333333,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.75,0.8333333333333334,1.0718285714285714,63.800000000000004,1.403,-0.07096000000000001,0.12,2026-09-03T10:14:29+00:00
Ligue 2,14,1.2142857142857142,1.1428571428571428,2.3571428571428568,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.5,0.5714285714285714,0.5,1.0709875000000002,68.0,1.326,-0.09162000000000001,0.14,2026-09-03T10:14:29+00:00
Belgian Pro League,13,1.7692307692307692,1.7692307692307692,3.5384615384615383,0.5384615384615384,0.07692307692307693,0.38461538461538464,0.3076923076923077,0.46153846153846156,0.6923076923076923,1.0696,68.1,1.4045,-0.06978999999999999,0.13,2026-09-03T10:14:29+00:00
Segunda Division,14,0.9285714285714286,1.0,1.9285714285714286,0.35714285714285715,0.21428571428571427,0.42857142857142855,0.7142857142857143,0.35714285714285715,0.2857142857142857,1.0663,61.4,1.296,-0.08712,0.14,2026-09-03T10:14:29+00:00
League One,24,1.9583333333333333,1.125,3.083333333333333,0.4166666666666667,0.375,0.20833333333333334,0.5,0.6666666666666666,0.5,1.104,73.6,1.396,-0.09542,0.24,2026-09-03T10:14:29+00:00
League Two,22,1.6363636363636365,1.1363636363636365,2.772727272727273,0.5,0.2727272727272727,0.22727272727272727,0.4090909090909091,0.5909090909090909,0.5909090909090909,1.0866,76.0,1.358,-0.08226,0.22,2026-09-03T10:14:29+00:00
Championship,29,1.6896551724137931,1.2413793103448276,2.931034482758621,0.41379310344827586,0.41379310344827586,0.1724137931034483,0.3793103448275862,0.7241379310344828,0.6206896551724138,1.0829805555555556,77.5,1.3835,-0.09556999999999999,0.29,2026-09-03T10:14:29+00:00
La Liga,22,2.0,1.0909090909090908,3.090909090909091,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.6363636363636364,0.6363636363636364,1.102,79.30000000000001,1.3930000000000002,-0.08726,0.22,2026-09-03T10:14:29+00:00
Turkish Super Lig,14,1.5,1.0,2.5,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5,0.5,0.5,1.0863,72.4,1.336,-0.07762,0.14,2026-09-03T10:14:29+00:00
Ligue 1,11,1.8181818181818181,0.9090909090909091,2.727272727272727,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.5454545454545454,1.091,66.1,1.3515,-0.07863,0.11,2026-09-03T10:14:29+00:00
Serie B,9,1.7777777777777777,1.1111111111111112,2.888888888888889,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.6666666666666666,1.0863,70.69999999999999,1.3585000000000003,-0.07097,0.09,2026-09-03T10:14:29+00:00
Premier League,9,2.3333333333333335,1.6666666666666667,4.0,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.6666666666666666,1.0818,70.69999999999999,1.4085,-0.08497,0.09,2026-09-03T10:14:29+00:00
Greek Super League,1,2.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0790000000000002,64.35,1.3615,-0.07833000000000001,0.01,2026-09-03T10:14:29+00:00
Serie A,6,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,0.5,0.3333333333333333,0.5,1.0752000000000002,61.099999999999994,1.349,-0.07598,0.06,2026-09-03T10:14:29+00:00
Bundesliga,4,3.5,1.0,4.5,1.0,0.0,0.0,0.0,0.75,1.0,1.0839999999999999,67.6,1.3860000000000001,-0.07332,0.04,2026-09-03T10:14:29+00:00
