id,bet_id,source_hash,sport_key,event,selection,home_goals,away_goals,result,external_event_id,settled_at,created_at
1,54089,c36b422afbbd8999fa0c4d58,soccer_germany_bundesliga,Union Berlin vs FC Schalke 04,FC Schalke 04,1,3,WON,115c6679a72c5a360640b6baaa16e78c,2026-09-12T02:00:51Z,2026-09-12T09:42:20+00:00
2,55616,6c7e843008031acac1515791,soccer_france_ligue_one,Rennes vs Marseille,Marseille,1,0,LOST,a7e7bf9a8226e86eab6e5c1cb0780a0f,2026-09-12T02:06:10Z,2026-09-12T09:42:20+00:00
3,56402,a32ca816686c3580a863e93c,soccer_argentina_primera_division,Newells Old Boys vs Velez Sarsfield BA,Newells Old Boys,1,1,LOST,711808d9d6c84234e75c9cb1ef6c19c4,2026-09-12T07:49:58Z,2026-09-12T09:42:20+00:00
4,56411,00dacec6633e51cd09f059f5,soccer_mexico_ligamx,Atlante FC vs Pachuca,Atlante FC,0,3,LOST,f7d518afad8d0039a076e5bc7537cd80,2026-09-12T09:42:18Z,2026-09-12T09:42:20+00:00
5,57035,3940555e05788d83ca926900,soccer_argentina_primera_division,Defensa y Justicia vs Gimnasia Mendoza,Gimnasia Mendoza,2,0,LOST,a86aea6784f046a762e94811a0300a1e,2026-09-12T07:49:58Z,2026-09-12T09:42:20+00:00
6,59431,c7e33ce59a85e96852784767,soccer_germany_bundesliga,Union Berlin vs FC Schalke 04,Draw,1,3,LOST,115c6679a72c5a360640b6baaa16e78c,2026-09-12T02:00:51Z,2026-09-12T09:42:20+00:00
7,60018,c0c5909f05608a63fc004f4a,soccer_italy_serie_a,Venezia vs Fiorentina,Venezia,2,4,LOST,a9656d25ca6b06be9e477a098333bd70,2026-09-12T02:01:52Z,2026-09-12T09:42:20+00:00
8,60063,97be85a635a1fcc6f3b52281,soccer_belgium_first_div,KV Mechelen vs Anderlecht,KV Mechelen,0,1,LOST,9bdbc1febe71719d75d7c6ac3e60a111,2026-09-12T02:17:00Z,2026-09-12T09:42:20+00:00
9,61328,c7262e5f3e709058635c7af1,soccer_mexico_ligamx,Tijuana vs Querétaro,Querétaro,0,1,WON,a511b0308105aab2b1b6412195cd7770,2026-09-12T09:42:18Z,2026-09-12T09:42:20+00:00
10,61792,eb1e51bf6a67ab1f8acd99a0,soccer_france_ligue_one,Rennes vs Marseille,Draw,1,0,LOST,a7e7bf9a8226e86eab6e5c1cb0780a0f,2026-09-12T02:06:10Z,2026-09-12T09:42:20+00:00
11,62307,55d0cb6ae718b832a43b65ed,soccer_spain_la_liga,Sevilla vs Valencia,Valencia,1,0,LOST,79bc2eff76fa09664659765d5b1ded1a,2026-09-12T02:33:48Z,2026-09-12T09:42:20+00:00
12,62550,7b778ea130aadcbf6f6ca9ea,soccer_belgium_first_div,KV Mechelen vs Anderlecht,KV Mechelen,0,1,LOST,9bdbc1febe71719d75d7c6ac3e60a111,2026-09-12T02:17:00Z,2026-09-12T09:42:20+00:00
