id,observed_at,sport,league,external_event_id,event,home_team,away_team,market,selection,bookmaker,odds,market_probability,start_time,mode,result,final_score,settled_at,source_hash
1,2026-09-20T10:11:11.966947+00:00,handball,handball_germany_bundesliga,810597c1adec7b23fc198a1c74135c0d,Bergischer HC vs Füchse Berlin,Bergischer HC,Füchse Berlin,h2h,Bergischer HC,Tipico,8.5,0.12501593835711738,2026-09-20T13:00:00Z,SHADOW,OPEN,,,34a275601e8a4e15fb38593e208a671c
2,2026-09-20T10:11:11.966947+00:00,handball,handball_germany_bundesliga,810597c1adec7b23fc198a1c74135c0d,Bergischer HC vs Füchse Berlin,Bergischer HC,Füchse Berlin,h2h,Füchse Berlin,Tipico,1.1,0.8126857752722395,2026-09-20T13:00:00Z,SHADOW,OPEN,,,ba30d2ce80313682a42fb305f35a469c
3,2026-09-20T10:11:11.966947+00:00,handball,handball_germany_bundesliga,810597c1adec7b23fc198a1c74135c0d,Bergischer HC vs Füchse Berlin,Bergischer HC,Füchse Berlin,h2h,Draw,Tipico,16.0,0.06748981023486332,2026-09-20T13:00:00Z,SHADOW,OPEN,,,63cc5fcab80750435def4c2c118de36a
39,2026-09-20T10:11:11.970511+00:00,handball,handball_germany_bundesliga,3fbf171a45e1c3d05a4294915da86603,TBV Lemgo vs HC Erlangen,TBV Lemgo,HC Erlangen,h2h,HC Erlangen,Tipico,5.7,0.17884773674145799,2026-09-20T14:30:00Z,SHADOW,OPEN,,,60d2bb62466735c2943f7a83cf8291a7
40,2026-09-20T10:11:11.970511+00:00,handball,handball_germany_bundesliga,3fbf171a45e1c3d05a4294915da86603,TBV Lemgo vs HC Erlangen,TBV Lemgo,HC Erlangen,h2h,TBV Lemgo,Tipico,1.22,0.744572260842567,2026-09-20T14:30:00Z,SHADOW,OPEN,,,3103a8f586f796dc8c4507d38a1e098c
41,2026-09-20T10:11:11.970511+00:00,handball,handball_germany_bundesliga,3fbf171a45e1c3d05a4294915da86603,TBV Lemgo vs HC Erlangen,TBV Lemgo,HC Erlangen,h2h,Draw,Tipico,11.0,0.08296166928397282,2026-09-20T14:30:00Z,SHADOW,OPEN,,,2869c56e1a9c476e5cfc4515e59c901a
77,2026-09-20T10:11:11.973915+00:00,handball,handball_germany_bundesliga,5dffc2735ab7d901d624bc8334c2de77,HSG Wetzlar vs VfL Gummersbach,HSG Wetzlar,VfL Gummersbach,h2h,HSG Wetzlar,Tipico,6.5,0.15702508814026214,2026-09-20T14:30:00Z,SHADOW,OPEN,,,ab63811af6b462c0ddaa1edc7eda09a4
78,2026-09-20T10:11:11.973915+00:00,handball,handball_germany_bundesliga,5dffc2735ab7d901d624bc8334c2de77,HSG Wetzlar vs VfL Gummersbach,HSG Wetzlar,VfL Gummersbach,h2h,VfL Gummersbach,Tipico,1.16,0.7715428963977569,2026-09-20T14:30:00Z,SHADOW,OPEN,,,086b5d5b5a82e22f43ba72fb69715db6
79,2026-09-20T10:11:11.973915+00:00,handball,handball_germany_bundesliga,5dffc2735ab7d901d624bc8334c2de77,HSG Wetzlar vs VfL Gummersbach,HSG Wetzlar,VfL Gummersbach,h2h,Draw,Tipico,14.0,0.07738468341714605,2026-09-20T14:30:00Z,SHADOW,OPEN,,,c92190ea04db2576094a38c789305c85
115,2026-09-20T10:11:11.977414+00:00,handball,handball_germany_bundesliga,b03463a1a94b130ca1a1c14b52bf3308,SG Flensburg-Handewitt vs HSV Hamburg,SG Flensburg-Handewitt,HSV Hamburg,h2h,HSV Hamburg,Tipico,8.5,0.12914522247977014,2026-09-20T16:00:00Z,SHADOW,OPEN,,,9054937f30176402b962b5976dc53415
116,2026-09-20T10:11:11.977414+00:00,handball,handball_germany_bundesliga,b03463a1a94b130ca1a1c14b52bf3308,SG Flensburg-Handewitt vs HSV Hamburg,SG Flensburg-Handewitt,HSV Hamburg,h2h,SG Flensburg-Handewitt,Tipico,1.11,0.8072060957996589,2026-09-20T16:00:00Z,SHADOW,OPEN,,,4becba05746abfc7eb635164f11ecea0
117,2026-09-20T10:11:11.977414+00:00,handball,handball_germany_bundesliga,b03463a1a94b130ca1a1c14b52bf3308,SG Flensburg-Handewitt vs HSV Hamburg,SG Flensburg-Handewitt,HSV Hamburg,h2h,Draw,Tipico,14.0,0.06943492551335008,2026-09-20T16:00:00Z,SHADOW,OPEN,,,79db6e7f56bbb8afc681381e3354a941
150,2026-09-20T10:11:11.980906+00:00,handball,handball_germany_bundesliga,b05dc15f6213b587cd5a181a06cc07d6,MT Melsungen vs SC Magdeburg,MT Melsungen,SC Magdeburg,h2h,MT Melsungen,Tipico,3.6,0.2620675435232665,2026-09-20T16:00:00Z,SHADOW,OPEN,,,efa2c63908d0cda89e5066a6979b8574
151,2026-09-20T10:11:11.980906+00:00,handball,handball_germany_bundesliga,b05dc15f6213b587cd5a181a06cc07d6,MT Melsungen vs SC Magdeburg,MT Melsungen,SC Magdeburg,h2h,SC Magdeburg,Tipico,1.42,0.6483452302685523,2026-09-20T16:00:00Z,SHADOW,OPEN,,,580da9109607977e6f38f75310b50b9c
152,2026-09-20T10:11:11.980906+00:00,handball,handball_germany_bundesliga,b05dc15f6213b587cd5a181a06cc07d6,MT Melsungen vs SC Magdeburg,MT Melsungen,SC Magdeburg,h2h,Draw,Tipico,9.5,0.0970528283921962,2026-09-20T16:00:00Z,SHADOW,OPEN,,,dbfd56fbe164942c0773a52bc7211a96
