sport,period_days,settled,stake,profit,yield_pct,average_clv_pct,clv_samples,brier_score,calibration_error,probability_samples,max_drawdown
baseball,all,1228,1204.93,82.4746,6.845,,0,0.242709,0.047905,1228,21.4735
baseball,30,714,690.85,30.5078,4.416,,0,0.237328,0.059053,714,20.2872
baseball,90,1228,1204.93,82.4746,6.845,,0,0.242709,0.047905,1228,21.4735
baseball,365,1228,1204.93,82.4746,6.845,,0,0.242709,0.047905,1228,21.4735
basketball,all,25,12.43,1.7854,14.364,,0,0.207178,0.061365,25,2.1189
basketball,30,6,2.03,-1.03,-50.739,,0,0.129728,0.351185,6,1.53
basketball,90,25,12.43,1.7854,14.364,,0,0.207178,0.061365,25,2.1189
basketball,365,25,12.43,1.7854,14.364,,0,0.207178,0.061365,25,2.1189
football,all,767,183.98,12.5626,6.828,2.893,370,0.197863,0.027239,767,11.7859
football,30,567,132.7,0.8696,0.655,2.893,370,0.19479,0.031192,567,11.7859
football,90,767,183.98,12.5626,6.828,2.893,370,0.197863,0.027239,767,11.7859
football,365,767,183.98,12.5626,6.828,2.893,370,0.197863,0.027239,767,11.7859
mma,all,20,8.71,-1.761,-20.218,,0,0.175791,0.224265,20,3.157
mma,30,7,3.53,-0.4788,-13.564,,0,0.234431,0.322221,7,1.95
mma,90,20,8.71,-1.761,-20.218,,0,0.175791,0.224265,20,3.157
mma,365,20,8.71,-1.761,-20.218,,0,0.175791,0.224265,20,3.157
tennis,all,2,0.36,0.626,173.889,,0,0.236606,0.396259,2,0.07
tennis,30,2,0.36,0.626,173.889,,0,0.236606,0.396259,2,0.07
tennis,90,2,0.36,0.626,173.889,,0,0.236606,0.396259,2,0.07
tennis,365,2,0.36,0.626,173.889,,0,0.236606,0.396259,2,0.07
