Datum,Zápas,Tip,Kurz,Edge,lh,la,Vklad,Vysledok,Sport
15.01.2026,Augsburg vs Union Berlin,1,0.0,8.5,1.5,11.81,0.0,,
15.01.2026,Como vs Milan,1,0.0,26.4,1.5,20.0,0.0,,
15.01.2026,Verona vs Bologna,2,0.0,32.4,1.5,20.0,0.0,,
15.01.2026,Como vs Milan,Under 2.5,0.0,36.2,1.5,20.0,0.0,,
15.01.2026,Augsburg vs Union Berlin,Over 2.5,0.0,11.3,1.5,20.0,0.0,,
15.01.2026,Como vs Milan,X,0.0,9.2,1.5,10.41,0.0,,
15.01.2026,Verona vs Bologna,Over 2.5,0.0,38.4,1.5,20.0,0.0,,
16.01.2026,Monaco vs Lorient,1,0.0,38.4,1.5,20.0,0.0,,
16.01.2026,Pisa vs Atalanta,X,0.0,42.5,1.5,20.0,0.0,,
16.01.2026,Werder Bremen vs Ein Frankfurt,2,0.0,37.5,1.5,20.0,0.0,,
16.01.2026,Espanol vs Girona,Over 2.5,0.0,29.5,1.5,20.0,0.0,,
16.01.2026,Monaco vs Lorient,Under 2.5,0.0,27.0,1.5,20.0,0.0,,
16.01.2026,Sp Lisbon vs Casa Pia,Over 2.5,0.0,31.6,1.5,20.0,0.0,,
16.01.2026,Werder Bremen vs Ein Frankfurt,Over 2.5,0.0,40.8,1.5,20.0,0.0,,
16.01.2026,Paris SG vs Lille,1,0.0,5.0,1.5,20.0,0.0,,
16.01.2026,Sp Lisbon vs Casa Pia,1,0.0,18.4,1.5,20.0,0.0,,
16.01.2026,Paris FC vs Lille,Over 2.5,0.0,25.2,1.5,20.0,0.0,,
16.01.2026,Espanol vs Girona,1,0.0,12.3,1.5,20.0,0.0,,
17.01.2026,Cagliari vs Juventus,1,0.0,44.1,1.5,20.0,0.0,,
17.01.2026,Osasuna vs Oviedo,1,0.0,43.1,1.5,20.0,0.0,,
17.01.2026,FC Koln vs Mainz,Over 2.5,0.0,43.5,1.5,20.0,0.0,,
17.01.2026,Toulouse vs Nice,Over 2.5,0.0,43.6,1.5,20.0,0.0,,
17.01.2026,Alverca vs Moreirense,2,0.0,43.9,1.5,20.0,0.0,,
17.01.2026,Excelsior vs Telstar,X,0.0,44.4,1.5,20.0,0.0,,
17.01.2026,Rio Ave vs Benfica,2,0.0,7.4,1.5,20.0,0.0,,
17.01.2026,NAC Breda vs Nijmegen,Over 2.5,0.0,5.0,1.5,16.73,0.0,,
17.01.2026,Betis vs Villarreal,2,0.0,6.0,1.5,8.53,0.0,,
17.01.2026,Gil Vicente vs Nacional,2,0.0,6.6,1.5,3.53,0.0,,
17.01.2026,Sunderland vs Crystal Palace,Under 2.5,0.0,9.2,1.5,20.0,0.0,,
17.01.2026,Mallorca vs Ath Bilbao,Over 2.5,0.0,7.3,1.5,12.73,0.0,,
17.01.2026,Osasuna vs Oviedo,Over 2.5,0.0,43.0,1.5,20.0,0.0,,
17.01.2026,RB Leipzig vs Bayern Munich,1,0.0,45.0,1.5,20.0,0.0,,
17.01.2026,Tottenham vs West Ham,2,0.0,5.4,1.5,3.28,0.0,,
17.01.2026,Leeds vs Fulham,1,0.0,35.0,1.5,20.0,0.0,,
17.01.2026,Galatasaray vs Gaziantep,2,0.0,42.2,1.5,6.02,0.0,,
17.01.2026,Udinese vs Inter,1,0.0,40.7,1.5,13.39,0.0,,
17.01.2026,Angers vs Marseille,Under 2.5,0.0,35.4,1.5,20.0,0.0,,
17.01.2026,Napoli vs Sassuolo,2,0.0,40.5,1.5,13.14,0.0,,
17.01.2026,Liverpool vs Burnley,2,0.0,39.8,1.5,8.65,0.0,,
17.01.2026,Gil Vicente vs Nacional,Under 2.5,0.0,39.1,1.5,20.0,0.0,,
17.01.2026,AVS vs Arouca,Over 2.5,0.0,39.1,1.5,20.0,0.0,,
17.01.2026,Zwolle vs AZ Alkmaar,X,0.0,40.8,1.5,20.0,0.0,,
17.01.2026,Leeds vs Fulham,Over 2.5,0.0,37.2,1.5,20.0,0.0,,
17.01.2026,Zwolle vs AZ Alkmaar,Under 2.5,0.0,35.2,1.5,20.0,0.0,,
17.01.2026,For Sittard vs PSV Eindhoven,Over 2.5,0.0,8.8,1.5,20.0,0.0,,
17.01.2026,Dortmund vs St Pauli,Under 2.5,0.0,34.8,1.5,20.0,0.0,,
17.01.2026,Hoffenheim vs Leverkusen,1,0.0,34.0,1.5,20.0,0.0,,
17.01.2026,Betis vs Villarreal,Over 2.5,0.0,33.5,1.5,20.0,0.0,,
17.01.2026,Angers vs Marseille,X,0.0,32.3,1.5,20.0,0.0,,
17.01.2026,FC Koln vs Mainz,1,0.0,30.7,1.5,20.0,0.0,,
17.01.2026,Lens vs Auxerre,1,0.0,31.3,1.5,20.0,0.0,,
17.01.2026,Real Madrid vs Levante,X,0.0,40.2,1.5,15.22,0.0,,
17.01.2026,NAC Breda vs Nijmegen,2,0.0,30.5,1.5,20.0,0.0,,
17.01.2026,Wolfsburg vs Heidenheim,Over 2.5,0.0,16.8,1.5,20.0,0.0,,
17.01.2026,RB Leipzig vs Bayern Munich,X,0.0,19.0,1.5,11.59,0.0,,
17.01.2026,Napoli vs Sassuolo,Over 2.5,0.0,19.5,1.5,20.0,0.0,,
17.01.2026,Gil Vicente vs Nacional,X,0.0,24.2,1.5,20.0,0.0,,
17.01.2026,Udinese vs Inter,Over 2.5,0.0,21.1,1.5,20.0,0.0,,
17.01.2026,Nott'm Forest vs Arsenal,1,0.0,24.6,1.5,9.92,0.0,,
17.01.2026,Rio Ave vs Benfica,Over 2.5,0.0,25.6,1.5,20.0,0.0,,
17.01.2026,Toulouse vs Nice,1,0.0,25.7,1.5,20.0,0.0,,
17.01.2026,Sunderland vs Crystal Palace,1,0.0,25.9,1.5,20.0,0.0,,
17.01.2026,Hoffenheim vs Leverkusen,Over 2.5,0.0,29.2,1.5,20.0,0.0,,
17.01.2026,Hamburg vs M'gladbach,1,0.0,29.6,1.5,20.0,0.0,,
17.01.2026,Wolfsburg vs Heidenheim,1,0.0,16.7,1.5,20.0,0.0,,
17.01.2026,Tottenham vs West Ham,Under 2.5,0.0,24.7,1.5,20.0,0.0,,
17.01.2026,Man United vs Man City,1,0.0,16.4,1.5,14.42,0.0,,
17.01.2026,Nott'm Forest vs Arsenal,Over 2.5,0.0,12.7,1.5,20.0,0.0,,
17.01.2026,AVS vs Arouca,1,0.0,29.7,1.5,20.0,0.0,,
17.01.2026,Kasimpasa vs Antalyaspor,X,0.0,10.3,1.5,11.01,0.0,,
17.01.2026,Liverpool vs Burnley,Over 2.5,0.0,14.5,1.5,20.0,0.0,,
17.01.2026,Chelsea vs Brentford,1,0.0,10.6,1.5,20.0,0.0,,
17.01.2026,Betis vs Villarreal,1,0.0,14.3,1.5,19.68,0.0,,
17.01.2026,For Sittard vs PSV Eindhoven,1,0.0,13.9,1.5,4.7,0.0,,
17.01.2026,Cagliari vs Juventus,X,0.0,13.2,1.5,9.7,0.0,,
17.01.2026,Ajax vs Go Ahead Eagles,1,0.0,12.9,1.5,20.0,0.0,,
17.01.2026,RB Leipzig vs Bayern Munich,Under 2.5,0.0,30.2,1.5,20.0,0.0,,
17.01.2026,Heerenveen vs Groningen,Over 2.5,0.0,22.8,1.5,20.0,0.0,,
17.01.2026,Parma vs Genoa,2,0.0,43.9,1.5,20.0,0.0,,
17.01.2026,Alverca vs Moreirense,Over 2.5,0.0,15.9,1.5,20.0,0.0,,
17.01.2026,Parma vs Genoa,Over 2.5,0.0,40.4,1.5,20.0,0.0,,
17.01.2026,Kasimpasa vs Antalyaspor,Under 2.5,0.0,28.1,1.5,20.0,0.0,,
17.01.2026,Kasimpasa vs Antalyaspor,2,0.0,24.8,1.5,20.0,0.0,,
17.01.2026,Heerenveen vs Groningen,1,0.0,20.8,1.5,20.0,0.0,,
17.01.2026,Liverpool vs Burnley,X,0.0,11.5,1.5,4.49,0.0,,
17.01.2026,Dortmund vs FC Koln,Under 2.5,0.0,12.7,1.5,20.0,0.0,,
18.01.2026,Milan vs Lecce,X,0.0,7.7,1.5,3.85,0.0,,
18.01.2026,Heracles vs Twente,1,0.0,44.9,1.5,20.0,0.0,,
18.01.2026,Wolves vs Newcastle,2,0.0,5.1,1.5,15.7,0.0,,
18.01.2026,Tondela vs Sp Braga,2,0.0,6.0,1.5,20.0,0.0,,
18.01.2026,Torino vs Roma,Over 2.5,0.0,5.6,1.5,11.6,0.0,,
18.01.2026,Kocaelispor vs Trabzonspor,1,0.0,43.2,1.5,20.0,0.0,,
18.01.2026,Milan vs Lecce,Under 2.5,0.0,7.1,1.5,16.35,0.0,,
18.01.2026,Stuttgart vs Union Berlin,X,0.0,5.2,1.5,3.94,0.0,,
18.01.2026,Heracles vs Twente,Over 2.5,0.0,41.6,1.5,20.0,0.0,,
18.01.2026,Augsburg vs Freiburg,Over 2.5,0.0,27.8,1.5,20.0,0.0,,
18.01.2026,Alanyaspor vs Fenerbahce,X,0.0,40.7,1.5,20.0,0.0,,
18.01.2026,Genclerbirligi vs Samsunspor,1,0.0,35.3,1.5,20.0,0.0,,
18.01.2026,Getafe vs Valencia,Over 2.5,0.0,29.1,1.5,20.0,0.0,,
18.01.2026,Santa Clara vs Famalicao,X,0.0,27.1,1.5,20.0,0.0,,
18.01.2026,Tondela vs Sp Braga,Over 2.5,0.0,26.4,1.5,20.0,0.0,,
18.01.2026,Sociedad vs Barcelona,Over 2.5,0.0,25.5,1.5,20.0,0.0,,
18.01.2026,Santa Clara vs Famalicao,Under 2.5,0.0,41.2,1.5,20.0,0.0,,
18.01.2026,Torino vs Roma,2,0.0,22.7,1.5,20.0,0.0,,
18.01.2026,Aston Villa vs Everton,Under 2.5,0.0,43.2,1.5,20.0,0.0,,
18.01.2026,Ath Madrid vs Alaves,1,0.0,25.5,1.5,20.0,0.0,,
18.01.2026,Milan vs Lecce,2,0.0,23.2,1.5,4.14,0.0,,
18.01.2026,Lyon vs Brest,1,0.0,25.8,1.5,20.0,0.0,,
18.01.2026,Sociedad vs Barcelona,2,0.0,21.6,1.5,20.0,0.0,,
18.01.2026,Aston Villa vs Everton,X,0.0,16.3,1.5,12.76,0.0,,
18.01.2026,Celta vs Vallecano,Over 2.5,0.0,17.6,1.5,20.0,0.0,,
18.01.2026,Santa Clara vs Famalicao,1,0.0,20.0,1.5,20.0,0.0,,
18.01.2026,Ath Madrid vs Alaves,Over 2.5,0.0,19.8,1.5,20.0,0.0,,
18.01.2026,Feyenoord vs Sparta Rotterdam,2,0.0,15.7,1.5,5.02,0.0,,
18.01.2026,Stuttgart vs Union Berlin,2,0.0,20.9,1.5,10.02,0.0,,
18.01.2026,Celta vs Vallecano,2,0.0,15.6,1.5,9.99,0.0,,
18.01.2026,Rennes vs Le Havre,1,0.0,40.9,1.5,20.0,0.0,,
18.01.2026,Bologna vs Fiorentina,Under 2.5,0.0,17.9,1.5,20.0,0.0,,
18.01.2026,Tondela vs Sp Braga,1,0.0,10.0,1.5,3.79,0.0,,
18.01.2026,Wolves vs Newcastle,Under 2.5,0.0,5.1,1.5,9.33,0.0,,
18.01.2026,Nantes vs Paris FC,2,0.0,37.3,1.5,20.0,0.0,,
18.01.2026,Strasbourg vs Metz,1,0.0,32.1,1.5,20.0,0.0,,
18.01.2026,Strasbourg vs Metz,Over 2.5,0.0,31.8,1.5,20.0,0.0,,
18.01.2026,Nantes vs Paris FC,Over 2.5,0.0,20.5,1.5,20.0,0.0,,
18.01.2026,Lyon vs Brest,Over 2.5,0.0,11.8,1.5,20.0,0.0,,
18.01.2026,Augsburg vs Freiburg,1,0.0,15.3,1.5,20.0,0.0,,
18.01.2026,Kocaelispor vs Trabzonspor,Under 2.5,0.0,13.3,1.5,20.0,0.0,,
18.01.2026,Stuttgart vs Union Berlin,Under 2.5,0.0,23.4,1.5,20.0,0.0,,
19.01.2026,Brighton vs Bournemouth,1,0.0,41.6,1.5,20.0,0.0,,
19.01.2026,Brighton vs Bournemouth,Over 2.5,0.0,34.5,1.5,20.0,0.0,,
19.01.2026,Cremonese vs Verona,Over 2.5,0.0,43.9,1.5,20.0,0.0,,
19.01.2026,Estrela vs Estoril,Over 2.5,0.0,43.8,1.5,20.0,0.0,,
19.01.2026,Konyaspor vs Eyupspor,Under 2.5,0.0,43.1,1.5,20.0,0.0,,
19.01.2026,Besiktas vs Kayserispor,2,0.0,40.6,1.5,12.68,0.0,,
19.01.2026,Lazio vs Como,1,0.0,26.6,1.5,20.0,0.0,,
19.01.2026,Goztep vs Rizespor,Under 2.5,0.0,25.0,1.5,20.0,0.0,,
19.01.2026,Lazio vs Como,Over 2.5,0.0,15.9,1.5,20.0,0.0,,
19.01.2026,Konyaspor vs Eyupspor,X,0.0,11.0,1.5,7.41,0.0,,
19.01.2026,Elche vs Sevilla,Over 2.5,0.0,27.4,1.5,20.0,0.0,,
19.01.2026,Goztep vs Rizespor,1,0.0,34.5,1.5,20.0,0.0,,
21.01.2026,AZ Alkmaar vs Excelsior,Over 2.5,0.0,30.4,1.5,20.0,0.0,,
21.01.2026,AZ Alkmaar vs Excelsior,1,0.0,12.0,1.5,20.0,0.0,,
01.02.2026,Tondela vs Benfica,Over 2.5,0.0,6.3,1.5,17.36,0.0,,
01.02.2026,Nott'm Forest vs Crystal Palace,Over 2.5,0.0,5.4,1.5,11.16,0.0,,
01.02.2026,Parma vs Juventus,X,0.0,44.2,1.5,20.0,0.0,,
01.02.2026,Como vs Atalanta,1,0.0,43.4,1.5,20.0,0.0,,
01.02.2026,Betis vs Valencia,Over 2.5,0.0,42.9,1.5,20.0,0.0,,
